CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country
1,Alfreds Futterkiste,Maria Anders,Obere Str. 57,Berlin,12209,Germany
6,Blauer See Delikatessen,Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany
12,Cactus Comidas para llevar,Patricio Simpson,Cerrito 333,Buenos Aires,1010,Argentina
22,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,C/ Moralzarzal  86,Madrid,28034,Spain
26,France restauration,Carine Schmitt,54  rue Royale,Nantes,44000,France
32,Great Lakes Food Market,Howard Snyder,2732 Baker Blvd.,Eugene,97403,USA
40,La corne d'abondance,Daniel Tonini,67  avenue de l'Europe,Versailles,78000,France
42,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,1900 Oak St.,Vancouver,V3F 2K1,Canada
43,Lazy K Kountry Store,John Steel,12 Orchestra Terrace,Walla Walla,99362,USA
45,Let's Stop N Shop,Jaime Yorres,87 Polk St. Suite 5,San Francisco,94117,USA
50,Maison Dewey,Catherine Dewey,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
53,North/South,Simon Crowther,South House 300 Queensbridge,London,SW7 1RZ,UK
57,Paris sp_cialit_s,Marie Bertrand,265  boulevard Charonne,Paris,75012,France
64,Rancho grande,Sergio Guti_rrez,Av. del Libertador 900,Buenos Aires,1010,Argentina
74,Sp_cialit_s du monde,Dominique Perrier,25  rue Lauriston,Paris,75016,France
78,The Cracker Box,Liu Wong,55 Grizzly Peak Rd.,Butte,59801,USA
82,Trail's Head Gourmet Provisioners,Helvetius Nagy,722 DaVinci Blvd.,Kirkland,98034,USA
