CustomerID,CustomerName
2,Ana Trujillo Emparedados y helados
4,Around the Horn
5,Berglunds snabbk_p
7,Blondel père et fils
9,Bon app'
10,Bottom-Dollar Marketse
11,B's Beverages
13,Centro comercial Moctezuma
17,Drachenblut Delikatessend
18,Du monde entier
19,Eastern Connection
20,Ernst Handel
21,Familia Arquibaldo
24,Folk och f_ HB
25,Frankenversand
28,Furia Bacalhau e Frutos do Mar
31,Gourmet Lanchonetes
33,GROSELLA-Restaurante
35,HILARIîN-Abastos
36,Hungry Coyote Import Store
37,Hungry Owl All-Night Grocers
39,K_niglich Essen
46,LILA-Supermercado
51,Mère Paillarde
52,Morgenstern Gesundkost
55,Old World Delicatessen
58,Pericles Comidas cl‡sicas
59,Piccolo und mehr
60,Princesa Isabel Vinhoss
63,QUICK-Stop
65,Rattlesnake Canyon Grocery
67,Ricardo Adocicados
68,Richter Supermarkt
69,Romero y tomillo
71,Save-a-lot Markets
72,Seven Seas Imports
73,Simons bistro
80,Tortuga Restaurante
83,Vaffeljernet
87,Wartian Herkku
90,Wilman Kala
91,Wolski
